Question,top_1_acc,top_3_acc
"What case defines what an offer is?
",200.0,66.66666666666666
"What is a valid offer?
",200.0,66.66666666666666
"What are the principles of an injunction
",100.0,33.33333333333333
"What underpins res ipsa loquitor principle
",200.0,66.66666666666666
"Can the liability of a subsidiary company be extended to a parent company
",200.0,66.66666666666666
"can you repeat an injunction application in the same court
",0.0,0.0
"battery and assault principles
",300.0,100.0
"the effect of failure to correct an error apparent on the face of the record of appeal
",300.0,100.0
"legal opinion on force majeure
",100.0,33.33333333333333
"Terms to dissolve a company?
",100.0,33.33333333333333
